dataset,nodes,iter,total,asubp,comm,recon
CDS1,1,1,4.214181,1.9904555,0.024956901,0.6197618
CDS1,1,2,1.86833,1.2624084,0.038270738,0.16249798
CDS1,1,3,1.847378,1.2257106,0.047516920000000004,0.1855324
CDS1,1,4,1.243065,1.1601841,0.021395176,0.038759563
CDS1,1,5,1.921564,1.2040264999999999,0.032020204000000003,0.25996125000000003
CDS1,1,6,2.689822,1.4376196,0.026689285,0.3941091
CDS1,1,7,2.310023,1.3802305000000001,0.050211149999999996,0.29016031
CDS1,1,8,1.589903,1.2488919,0.04976933,0.12733646
CDS1,1,9,2.212817,1.3303636,0.034225706,0.20227226
CDS1,1,10,1.946121,1.3547681,0.031233557000000002,0.14415011
CDS1,2,1,2.582725,1.1278716,0.08532504,0.758703
CDS1,2,2,1.56873,0.9441819,0.09099878,0.17494393
CDS1,2,3,3.764772,1.5732305,0.07734432999999999,0.9722141
CDS1,2,4,2.952101,1.2409123,0.07295675,0.9809361999999999
CDS1,2,5,2.042955,0.9941924,0.0581956,0.5693106
CDS1,2,6,2.00736,1.0335054,0.08879126000000001,0.23268592999999999
CDS1,2,7,1.996904,1.1317693,0.08130838,0.29039349999999997
CDS1,2,8,4.16041,1.6171288000000001,0.06553019,1.1201444
CDS1,2,9,4.224571,1.6376789,0.07290379,0.9439533999999999
CDS1,2,10,5.121386,1.6978712,0.09552545,1.7332705000000002
CDS2,1,1,3.867764,2.4984184,0.028410622000000003,0.42993534
CDS2,1,2,3.382336,2.4631636,0.029291467999999998,0.35645083
CDS2,1,3,2.866493,2.4358447,0.029302564,0.20074671
CDS2,1,4,2.833029,2.372629,0.024950407,0.20093562
CDS2,1,5,3.095272,2.3469481,0.028657586,0.25640169
CDS2,1,6,2.892788,2.3456013000000002,0.026642288,0.16320129
CDS2,1,7,2.92403,2.4564733,0.026624683000000003,0.23098802000000002
CDS2,1,8,3.704764,2.6386605999999997,0.023857388,0.42370852000000003
CDS2,1,9,3.354321,2.3257608999999997,0.028082126,0.33031208
CDS2,1,10,3.408134,2.399927,0.027488143,0.37310117
CDS2,2,1,3.083153,1.5937313,0.07811705,0.6837085
CDS2,2,2,3.348769,1.5916093,0.04592477,0.811286
CDS2,2,3,6.163307,2.3643567,0.05284213,1.5014403
CDS2,2,4,6.648745,2.4405693,0.07487332,1.4960168
CDS2,2,5,7.084314,2.9555135999999997,0.062660467,1.5710219
CDS2,2,6,4.797093,1.984894,0.06658125000000001,1.0286492
CDS2,2,7,4.675771,2.0916170000000003,0.0679318,0.9270379
CDS2,2,8,5.784364,2.2062752,0.054335392999999996,1.1450563
CDS2,2,9,1.378187,1.0544965,0.049204981,0.10134749
CDS2,2,10,1.923823,1.2919694000000002,0.037716031,0.22123312
