dataset,nodes,iter,total,asubp,comm,recon
CDS1,1,1,4.214181,1.9904555,0.024956901,0.6197618
CDS1,1,2,1.86833,1.2624084,0.038270738,0.16249798
CDS1,1,3,1.847378,1.2257106,0.047516920000000004,0.1855324
CDS1,1,4,1.243065,1.1601841,0.021395176,0.038759563
CDS1,1,5,1.921564,1.2040264999999999,0.032020204000000003,0.25996125000000003
CDS1,1,6,2.689822,1.4376196,0.026689285,0.3941091
CDS1,1,7,2.310023,1.3802305000000001,0.050211149999999996,0.29016031
CDS1,1,8,1.589903,1.2488919,0.04976933,0.12733646
CDS1,1,9,2.212817,1.3303636,0.034225706,0.20227226
CDS1,1,10,1.946121,1.3547681,0.031233557000000002,0.14415011
CDS1,2,1,2.582725,1.1278716,0.08532504,0.758703
CDS1,2,2,1.56873,0.9441819,0.09099878,0.17494393
CDS1,2,3,3.764772,1.5732305,0.07734432999999999,0.9722141
CDS1,2,4,2.952101,1.2409123,0.07295675,0.9809361999999999
CDS1,2,5,2.042955,0.9941924,0.0581956,0.5693106
CDS1,2,6,2.00736,1.0335054,0.08879126000000001,0.23268592999999999
CDS1,2,7,1.996904,1.1317693,0.08130838,0.29039349999999997
CDS1,2,8,4.16041,1.6171288000000001,0.06553019,1.1201444
CDS1,2,9,4.224571,1.6376789,0.07290379,0.9439533999999999
CDS1,2,10,5.121386,1.6978712,0.09552545,1.7332705000000002
CDS2,1,1,3.867764,2.4984184,0.028410622000000003,0.42993534
CDS2,1,2,3.382336,2.4631636,0.029291467999999998,0.35645083
CDS2,1,3,2.866493,2.4358447,0.029302564,0.20074671
CDS2,1,4,2.833029,2.372629,0.024950407,0.20093562
CDS2,1,5,3.095272,2.3469481,0.028657586,0.25640169
CDS2,1,6,2.892788,2.3456013000000002,0.026642288,0.16320129
CDS2,1,7,2.92403,2.4564733,0.026624683000000003,0.23098802000000002
CDS2,1,8,3.704764,2.6386605999999997,0.023857388,0.42370852000000003
CDS2,1,9,3.354321,2.3257608999999997,0.028082126,0.33031208
CDS2,1,10,3.408134,2.399927,0.027488143,0.37310117
CDS2,2,1,3.083153,1.5937313,0.07811705,0.6837085
CDS2,2,2,3.348769,1.5916093,0.04592477,0.811286
CDS2,2,3,6.163307,2.3643567,0.05284213,1.5014403
CDS2,2,4,6.648745,2.4405693,0.07487332,1.4960168
CDS2,2,5,7.084314,2.9555135999999997,0.062660467,1.5710219
CDS2,2,6,4.797093,1.984894,0.06658125000000001,1.0286492
CDS2,2,7,4.675771,2.0916170000000003,0.0679318,0.9270379
CDS2,2,8,5.784364,2.2062752,0.054335392999999996,1.1450563
CDS2,2,9,1.378187,1.0544965,0.049204981,0.10134749
CDS2,2,10,1.923823,1.2919694000000002,0.037716031,0.22123312
CDS1,4,1,8.362803,2.601154,0.14838915,2.3488990000000003
CDS1,4,2,12.01554,3.215083,0.12855695,4.453354
CDS1,4,3,10.98851,3.611392,0.16331131,2.862075
CDS1,4,4,5.426314,1.7731694,0.12980097,1.5263102
CDS1,4,5,8.309007,2.5339755,0.15503975,2.33042
CDS1,4,6,10.05676,2.8958214,0.16355672999999998,2.885564
CDS1,4,7,5.969794,2.0379016,0.17293947999999998,1.2897402
CDS1,4,8,9.429257,2.8964409,0.13767962,2.400147
CDS1,4,9,1.587075,0.907098,0.15071218,0.18414443
CDS1,4,10,10.91849,3.5125390000000003,0.14634108,2.878911
CDS2,4,1,4.265913,1.8280642,0.09395434999999999,1.3727255
CDS2,4,2,9.229344,3.0658541,0.10582926,2.6312653
CDS2,4,3,6.70375,2.4916711,0.07632146,2.0484971
CDS2,4,4,9.220375,3.019815,0.10072705,2.412724
CDS2,4,5,8.080777,2.813313,0.10950531000000001,2.0995875
CDS2,4,6,10.12601,3.051984,0.09403560999999999,3.011171
CDS2,4,7,8.143541,2.8637543,0.12557027,2.1647114
CDS2,4,8,6.747628,2.6645161,0.09131926,1.7912607999999999
CDS2,4,9,9.110237,2.892976,0.10594935,2.5931930000000003
CDS2,4,10,10.01957,3.066383,0.10057798999999999,2.952541
