dataset,nodes,iter,total,asubp,comm,recon
CDS1,1,1,0.2496621,0.15031335,0.029490266,0.011016166
CDS1,1,2,0.2614808,0.15031434,0.0305125,0.011187638
CDS1,1,3,0.2504655,0.15017787999999999,0.03025371,0.01102035
CDS1,1,4,0.2502305,0.15031632,0.030002313,0.011000938
CDS1,1,5,0.2507524,0.15017702,0.030087910000000002,0.011040654
CDS1,1,6,0.2504633,0.15023426,0.030321,0.010949336
CDS1,1,7,0.2532303,0.15022244,0.030463691,0.011022949
CDS1,1,8,0.2509188,0.1501548,0.030543989,0.011004738
CDS1,1,9,0.250815,0.15026782,0.03014091,0.011009531999999999
CDS1,1,10,0.2515825,0.15040545,0.0304048,0.011073955
CDS1,2,1,0.163547,0.07735721,0.046144920000000006,0.006716667
CDS1,2,2,0.1628125,0.07736140999999999,0.04547521,0.006797467999999999
CDS1,2,3,0.1634898,0.07734253,0.045601050000000004,0.006681171999999999
CDS1,2,4,0.163801,0.07755895,0.04580755,0.006779568999999999
CDS1,2,5,0.1689255,0.07745987,0.04709792,0.0069064669999999995
CDS1,2,6,0.1680377,0.07741405,0.04633266,0.006785373000000001
CDS1,2,7,0.1651462,0.07738877,0.046748689999999996,0.006725668000000001
CDS1,2,8,0.1632213,0.07751212,0.046025449999999996,0.006671677000000001
CDS1,2,9,0.1658399,0.07750915,0.04596527,0.006898769
CDS1,2,10,0.1667936,0.07749341,0.04806092,0.007036354999999999
CDS1,4,1,0.1270966,0.03997542,0.06040447,0.006363294
CDS1,4,2,0.1274232,0.04005561,0.0599292,0.006238197
CDS1,4,3,0.1306463,0.04014982,0.062156199999999995,0.006754678
CDS1,4,4,0.1271051,0.04001773,0.06062777,0.006452088
CDS1,4,5,0.1278837,0.03997129,0.0599405,0.0062255999999999995
CDS1,4,6,0.1273114,0.04002986,0.059590119999999996,0.00670247
CDS1,4,7,0.1267495,0.040047519999999996,0.059897500000000006,0.00650678
CDS1,4,8,0.1282604,0.04002989,0.06091606,0.006411491
CDS1,4,9,0.1321168,0.040053729999999996,0.06464008,0.006392099
CDS1,4,10,0.1286658,0.04004291,0.06052719,0.0065589870000000005
CDS2,1,1,0.4802602,0.31690844,0.029551420000000002,0.011008430999999999
CDS2,1,2,0.4802946,0.31688493,0.029859712,0.011067631
CDS2,1,3,0.4809206,0.31700543,0.030011950000000003,0.011099266
CDS2,1,4,0.4852865,0.31683092,0.03056259,0.011015336
CDS2,1,5,0.4814047,0.31694802,0.02964164,0.01101445
CDS2,1,6,0.4805467,0.31680553,0.029869020000000003,0.011020236999999999
CDS2,1,7,0.481135,0.31694572,0.029716058,0.010986868
CDS2,1,8,0.4794375,0.31695882,0.029586864999999997,0.011043363
CDS2,1,9,0.4799756,0.31689568,0.029883810000000004,0.011034735
CDS2,1,10,0.4811856,0.31705152,0.03052593,0.011325152
CDS2,2,1,0.2787471,0.16121564,0.04531222,0.006633869000000001
CDS2,2,2,0.2792046,0.16116327,0.046070780000000006,0.006633976
CDS2,2,3,0.2800667,0.16129508,0.04604305,0.006667472000000001
CDS2,2,4,0.2792147,0.16113788,0.045519199999999996,0.006638178
CDS2,2,5,0.2802526,0.16120616,0.04683784,0.006683476000000001
CDS2,2,6,0.2797362,0.16113474,0.04630376,0.00666188
CDS2,2,7,0.2801807,0.16132464,0.04579626,0.006676372
CDS2,2,8,0.2800022,0.16122951,0.04635664,0.006580177999999999
CDS2,2,9,0.2832712,0.16112485,0.04789078,0.006927662
CDS2,2,10,0.2797116,0.16134752,0.04592155,0.006638375
CDS2,4,1,0.1843791,0.0745599,0.06078496,0.0062305039999999996
CDS2,4,2,0.1843563,0.07434499,0.061090240000000004,0.006263695
CDS2,4,3,0.1897427,0.07436605,0.06107074999999999,0.006216593
CDS2,4,4,0.1839587,0.07451268,0.06077706,0.006191996
CDS2,4,5,0.1841621,0.07435888,0.06084106,0.006220606
CDS2,4,6,0.1884173,0.07443546000000001,0.061842900000000006,0.006450593
CDS2,4,7,0.1838311,0.07438061,0.06062188,0.006269696
CDS2,4,8,0.1905282,0.07452464,0.060694170000000006,0.006378597
CDS2,4,9,0.1850141,0.07445744,0.06147253,0.0064469869999999995
CDS2,4,10,0.1848652,0.07444624,0.06140603,0.006183406000000001
